"SG_UF_RESIDENCIA","NU_IDADE","TP_SEXO","TP_ESTADO_CIVIL","TP_COR_RACA","TP_NACIONALIDADE","TP_ST_CONCLUSAO","TP_ENSINO","IN_TREINEIRO","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","Q006","Q047","NU_NOTA_REDACAO"
"27",0.909090909090909,0.571428571428571,1,0,1,1,2,0,0,0.192708333333333,0.416020671834625,0.311594202898551,0.475409836065574,0.0625,0,580
"91",0.0454545454545455,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.669270833333333,0.65374677002584,0.869565217391304,0.595628415300546,0.25,0.75,840
"117",0.5,1,0,1,1,1,2,0,0,0.622395833333333,0.565891472868217,0.717391304347826,0.400728597449909,0.0625,0,860
"136",0.181818181818182,0.0714285714285714,0,0,1,1,2,0,0,0.125,0.356589147286822,0.47463768115942,0.245901639344262,0.375,0,540
"150",0.636363636363636,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,1,0.767441860465116,0.927536231884058,0.907103825136612,1,0.75,780
"168",0.636363636363636,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.736979166666667,1,1,0.734061930783242,0.9375,0.75,920
"182",0.818181818181818,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.716145833333333,0.677002583979328,0.829710144927536,0.520947176684882,0.875,0.75,780
"188",0.636363636363636,0.142857142857143,1,0,0.333333333333333,1,2,0,0,0.747395833333333,0.69250645994832,0.865942028985507,1,0.875,0.25,920
"235",0.818181818181818,0.142857142857143,0,0,0.333333333333333,1,2,0,0,0.114583333333333,0.299741602067183,0.199275362318841,0.262295081967213,0.125,0,600
"239",0.590909090909091,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.6640625,0.516795865633075,0.394927536231884,0.480874316939891,0.6875,0.75,580
"251",0.863636363636364,0.142857142857143,0,0,1,1,2,0,0,0.138020833333333,0.421188630490956,0.0942028985507246,0.0200364298724954,0.1875,0,760
"260",0.863636363636364,0.142857142857143,0,0,0.333333333333333,1,2,0,0,0.2578125,0.576227390180879,0.735507246376812,0.265938069216758,0.375,0,680
"261",0.272727272727273,0.0714285714285714,0,0,1,1,2,0,0,0.408854166666667,0.496124031007752,0.550724637681159,0.0200364298724954,0.25,0,840
"282",0,0.142857142857143,0,0,0.333333333333333,1,2,0,0,0.192708333333333,0.617571059431525,0.644927536231884,0.236794171220401,0.0625,0,580
"288",0.954545454545455,0.142857142857143,0,0,0.333333333333333,1,2,0,0,0.125,0.108527131782946,0.0434782608695652,0.189435336976321,0.1875,0,520
"337",0.772727272727273,0.142857142857143,0,0,1,1,2,0,0,0.421875,0.496124031007752,0.804347826086957,0.367941712204007,0.25,0.25,660
"344",0.863636363636364,0,1,0,0.333333333333333,1,2,0,0,0.541666666666667,0.589147286821705,0.615942028985507,0.551912568306011,0.6875,0,520
"362",0.954545454545455,0.0714285714285714,1,0,0.333333333333333,1,2,0,0,0.721354166666667,0.715762273901809,0.909420289855073,0.788706739526412,0.375,0,900
"363",0.636363636363636,0.0714285714285714,0,0,1,1,2,0,0,0.572916666666667,0.374677002583979,0.467391304347826,0.282331511839709,0.125,0,640
"375",0.954545454545455,0.0714285714285714,1,0,0.333333333333333,1,2,0,0,0.0104166666666667,0,0,0.207650273224044,0.1875,0,520
"398",0.5,0.142857142857143,1,0,0.333333333333333,1,2,0,0,0.122395833333333,0.0930232558139535,0.315217391304348,0,0.125,0,560
"421",0.0454545454545455,0.0714285714285714,1,0,1,1,2,0,0,0.286458333333333,0.493540051679587,0.072463768115942,0.408014571948998,0.0625,0,580
"452",0.272727272727273,0.142857142857143,0,0,0.666666666666667,1,2,0,0,0.0963541666666667,0.418604651162791,0.532608695652174,0.160291438979964,0.125,0,600
"469",0.590909090909091,0.0714285714285714,1,0,0.333333333333333,1,2,0,0,0.731770833333333,0.609819121447028,0.768115942028985,0.754098360655738,0.9375,0.75,640
"483",0.454545454545455,0.0714285714285714,1,0,0.333333333333333,1,2,0,0,0.580729166666667,0.695090439276486,0.789855072463768,0.768670309653916,0.625,0.75,760
"514",0.636363636363636,0,1,0,0.333333333333333,1,2,0,0,0.505208333333333,0.537467700258398,0.467391304347826,0.402550091074681,0,0.75,520
"521",0,0.142857142857143,0,0,1,1,2,0.5,0,0.0286458333333333,0.255813953488372,0.583333333333333,0.424408014571949,0.125,0,520
"553",0.954545454545455,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.25,0.405684754521964,0.355072463768116,0.227686703096539,0.125,0,520
"557",0.409090909090909,0.0714285714285714,0,0,1,1,2,0,0,0.4921875,0.547803617571059,0.61231884057971,0.409836065573771,0.125,0,740
"596",0.954545454545455,0.0714285714285714,0,0,0.666666666666667,1,2,0,0,0.325520833333333,0.560723514211886,0.333333333333333,0.0746812386156648,0.1875,0,380
"599",0.590909090909091,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0,0.317829457364341,0.242753623188406,0.158469945355191,0,0,500
"611",0,0.0714285714285714,0,0,0.666666666666667,1,2,0,0,0.0963541666666667,0.364341085271318,0.485507246376812,0.19672131147541,0.125,0,680
"638",0.181818181818182,0.0714285714285714,0,0,0,1,2,0,0,0.0729166666666667,0.0904392764857881,0.467391304347826,0.204007285974499,0.1875,0,560
"663",0.181818181818182,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.434895833333333,0.304909560723514,0.615942028985507,0.276867030965392,0.125,0,540
"691",0.954545454545455,0.0714285714285714,1,0,0.333333333333333,1,2,0,0,0.5859375,0.813953488372093,0.88768115942029,0.723132969034608,0.9375,1,740
"692",0.954545454545455,0.0714285714285714,0,0,0.333333333333333,1,2,0,0,0.661458333333333,0.770025839793282,0.789855072463768,0.519125683060109,0.8125,0.75,840
"701",0.227272727272727,0.0714285714285714,0,0,1,1,2,0,0,0.361979166666667,0.591731266149871,0.496376811594203,0.063752276867031,0,0,580
