FCL;WM;Expected
565.4292302339118;559.6770895300664;580.0
416.4267508673252;517.3068092929728;520.0
533.8275679207479;547.2605844823621;680.0
474.02589176797295;540.8173144895378;360.0
777.6087124446867;757.8329574152266;880.0
647.315779937253;647.2869127911001;580.0
527.4422097040049;548.0124010152632;620.0
515.8283737712121;632.212374160831;600.0
618.5880399508427;610.3860739733911;860.0
450.24264580556957;509.9913931225321;480.0
465.67574341034197;504.2136075841555;460.0
710.1230154172468;723.4286880185158;520.0
671.4491647419675;694.2643489341042;700.0
457.6128974575196;518.7303413630085;560.0
772.4257347724733;786.9211522224017;740.0
788.659277392308;820.7819177965083;420.0
458.68427415441295;480.5394965226565;600.0
514.714093541984;547.4828613316766;560.0
751.1900352873199;755.176512871207;680.0
518.3343401810091;606.9202199374221;720.0
581.9839732149936;609.7820835955783;640.0
501.28362167577546;579.0963896734719;560.0
686.0962730403061;684.2732016080744;620.0
699.3098706080381;652.3373641833241;640.0
566.5433481593222;582.56063083291;440.0
389.2310598074464;452.38388059774974;380.0
497.38258575183465;531.4294458361584;500.0
781.1400396592521;810.4801123650232;720.0
782.1065939016954;789.6967872298517;860.0
268.41912572870064;317.7482477566038;480.0
435.93588290116287;510.6379519605556;560.0
658.9838288489194;660.784687699633;720.0
303.7021148486234;387.37841895842274;320.0
452.1075862977856;498.0768652863312;580.0
370.3369454160194;394.36787476603695;300.0
589.7106106369844;521.8861203760914;620.0
578.631732743735;580.9720941144195;460.0
561.3743884502725;576.5126763083299;720.0
703.4534015154643;735.8021421984209;720.0
616.0783042907548;646.3074572660814;740.0
588.003583429377;587.9999999999999;800.0
394.9606713736656;483.3931553260287;720.0
488.5221670812252;541.3629577476997;780.0
753.8259255829624;767.5299496921955;880.0
652.2902070832126;705.7845110359607;740.0
662.204206257804;689.8304537654556;660.0
491.70317162138826;531.0970870027281;380.0
467.5314638764768;518.8813913763975;460.0
542.1883505979149;541.3807703123585;460.0
539.4334972502509;576.407372021039;780.0
590.3577693325053;575.5639753167148;660.0
697.6534228732204;712.5084311093983;720.0
704.6432726512662;746.4572193487935;700.0
831.6664874657679;772.9563706512531;760.0
502.0102658725222;572.7546102897992;500.0
488.11985860465285;554.5467206413878;620.0
570.8138911427366;510.9463385713226;600.0
523.5128931232113;540.8263557007377;560.0
566.9270384342993;629.2548885005075;380.0
681.8381314888809;688.0569288050142;720.0
644.4840052271375;615.6696353585735;640.0
466.3410056061735;545.3678823078619;420.0
498.2981982402608;481.9182467538674;520.0
765.5016512764903;788.1046246980305;760.0
314.1532651738278;308.12717613276294;540.0
671.728160347783;696.7295325432991;540.0
466.1672043680802;514.5522614611114;560.0
491.6448495113183;576.474861625304;560.0
797.3816334867471;770.0403729362619;680.0
605.234050912079;612.2273261596262;560.0
490.33748937452015;569.8296480923154;600.0
707.8023441622973;740.9044090782866;580.0
664.9985722361896;685.7788871850156;580.0
594.8996860725272;636.2553063473097;580.0
401.36278258649793;487.4957308373056;400.0
534.0709461681565;556.5258936254105;600.0
524.3585528100084;548.9056260477984;760.0
504.2252234634763;544.7492956090579;560.0
524.1200366215738;539.218701266695;520.0
713.0503093801422;721.5575543930528;560.0
739.2975249080566;716.9740975443107;0.0
627.8682896704406;598.0374749113513;520.0
340.29321464413385;436.60453906685683;480.0
573.4673513878902;617.5273449580365;760.0
475.27345855820084;612.9578032022467;720.0
734.23265335551;743.3233025077319;760.0
422.92602558974875;493.6813153522719;360.0
575.2016770636799;616.6967075401732;600.0
595.0621712448205;640.2154229337813;560.0
684.8539124194284;675.4149877588559;640.0
709.4319259287867;686.934466310568;820.0
623.7198246757133;620.2599153473639;600.0
759.2996395888066;798.4371755499284;680.0
590.9396568415963;566.621967982852;620.0
558.9946229806483;561.7887203571054;620.0
641.9303780878382;704.2865692620004;700.0
722.2500048287168;714.1402142995921;700.0
570.7693231764196;584.626620274044;720.0
475.49192928851477;544.8680181971256;580.0
564.9858668887557;611.7242454652448;560.0
605.2398216603651;644.2683995832583;680.0
525.1274130857885;578.6779712404373;560.0
509.1787606799253;544.2373842779035;260.0
746.1962499505042;771.7031451892644;700.0
551.2914982915194;553.0119721375387;480.0
621.7479473784339;592.3794638536657;720.0
461.2711864834628;491.0162957575419;720.0
597.0253128545614;569.3493488064685;680.0
541.8879652598745;542.8884719368529;560.0
675.0843959394485;669.7594715233589;640.0
493.8828682068831;562.0055848766742;700.0
455.04588715455174;533.6525654744236;640.0
827.7976495260214;780.2330951192283;720.0
799.1922491285524;828.4824216289753;780.0
468.42253541889534;576.2886337511061;700.0
464.47689655944407;525.8552208142959;480.0
386.6352438364043;412.7115507322923;420.0
566.5953390841129;562.4125552109549;520.0
795.6661501234569;790.9375780243305;820.0
475.1008920503588;517.0072601599273;560.0
422.91581867863647;492.1426995565162;400.0
484.35489410811994;458.0934159230029;480.0
788.9340297115318;756.9230694294246;760.0
483.5065080708345;531.9241005421391;620.0
595.4315620443341;606.9786380603672;760.0
525.4797131105385;526.5584190485364;540.0
525.2938149424039;591.5451010369992;640.0
